ID,ParentID,Name,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Label,Edge_Weight
621,152,PurchasePart_621,S622,2023-05-09,635,24.83,21,Purchase_Parts,46
S622,621,Supplier_S622,+1-555-606-5407,Germany,,,,Suppliers,47
623,377,PurchasePart_623,S624,2021-02-07,621,5.14,22,Purchase_Parts,15
S624,623,Supplier_S624,+1-555-517-3257,China,,,,Suppliers,75
625,610,PurchasePart_625,S626,2023-04-25,170,7.88,12,Purchase_Parts,31
S626,625,Supplier_S626,+1-555-901-3600,Germany,,,,Suppliers,54
627,477,PurchasePart_627,S628,2021-05-07,955,45.62,6,Purchase_Parts,13
S628,627,Supplier_S628,+1-555-405-5483,UK,,,,Suppliers,66
629,214,PurchasePart_629,S630,2023-06-02,966,14.59,20,Purchase_Parts,68
S630,629,Supplier_S630,+1-555-640-4838,USA,,,,Suppliers,59
631,458,PurchasePart_631,S632,2020-06-25,122,13.39,5,Purchase_Parts,89
S632,631,Supplier_S632,+1-555-791-5066,Germany,,,,Suppliers,20
633,477,PurchasePart_633,S634,2020-05-11,585,40.55,30,Purchase_Parts,13
S634,633,Supplier_S634,+1-555-521-7826,UK,,,,Suppliers,53
635,377,PurchasePart_635,S636,2021-12-13,174,49.46,27,Purchase_Parts,76
S636,635,Supplier_S636,+1-555-345-8074,UK,,,,Suppliers,92
637,512,PurchasePart_637,S638,2020-08-29,889,18.43,30,Purchase_Parts,88
S638,637,Supplier_S638,+1-555-431-5659,USA,,,,Suppliers,43
639,159,PurchasePart_639,S640,2022-05-25,750,5.41,7,Purchase_Parts,69
S640,639,Supplier_S640,+1-555-484-6678,Japan,,,,Suppliers,52
641,159,PurchasePart_641,S642,2023-01-08,153,47.21,23,Purchase_Parts,96
S642,641,Supplier_S642,+1-555-743-1528,UK,,,,Suppliers,88
643,477,PurchasePart_643,S644,2020-01-04,433,17.31,15,Purchase_Parts,80
S644,643,Supplier_S644,+1-555-145-4418,Japan,,,,Suppliers,24
645,477,PurchasePart_645,S646,2023-09-29,273,19.3,6,Purchase_Parts,10
S646,645,Supplier_S646,+1-555-928-7294,Germany,,,,Suppliers,69
647,611,PurchasePart_647,S648,2023-05-07,159,6.05,11,Purchase_Parts,99
S648,647,Supplier_S648,+1-555-994-1552,Japan,,,,Suppliers,67
649,431,PurchasePart_649,S650,2020-01-24,786,7.63,15,Purchase_Parts,83
S650,649,Supplier_S650,+1-555-250-2335,Japan,,,,Suppliers,42
651,508,PurchasePart_651,S652,2023-12-12,946,39.91,22,Purchase_Parts,40
S652,651,Supplier_S652,+1-555-938-2838,Japan,,,,Suppliers,36
653,611,PurchasePart_653,S654,2023-11-03,669,14.75,16,Purchase_Parts,75
S654,653,Supplier_S654,+1-555-943-7864,China,,,,Suppliers,89
655,505,PurchasePart_655,S656,2023-06-15,230,45.31,16,Purchase_Parts,67
S656,655,Supplier_S656,+1-555-735-8458,USA,,,,Suppliers,26
657,511,PurchasePart_657,S658,2020-06-25,222,41.39,24,Purchase_Parts,55
S658,657,Supplier_S658,+1-555-326-7084,Germany,,,,Suppliers,12
659,214,PurchasePart_659,S660,2021-06-16,322,34.45,6,Purchase_Parts,20
S660,659,Supplier_S660,+1-555-329-5953,USA,,,,Suppliers,51
661,620,PurchasePart_661,S662,2021-10-02,818,5.9,30,Purchase_Parts,65
S662,661,Supplier_S662,+1-555-793-1269,UK,,,,Suppliers,27
663,619,PurchasePart_663,S664,2021-04-20,840,28.29,5,Purchase_Parts,96
S664,663,Supplier_S664,+1-555-506-5010,Germany,,,,Suppliers,38
665,424,PurchasePart_665,S666,2023-04-11,926,39.04,15,Purchase_Parts,24
S666,665,Supplier_S666,+1-555-468-8317,UK,,,,Suppliers,13
667,505,PurchasePart_667,S668,2020-10-08,289,21.12,18,Purchase_Parts,50
S668,667,Supplier_S668,+1-555-821-1743,USA,,,,Suppliers,88
669,406,PurchasePart_669,S670,2021-03-05,830,29.69,13,Purchase_Parts,15
S670,669,Supplier_S670,+1-555-747-5988,Japan,,,,Suppliers,83
671,620,PurchasePart_671,S672,2022-05-17,268,36.52,8,Purchase_Parts,63
S672,671,Supplier_S672,+1-555-966-4972,USA,,,,Suppliers,56
673,512,PurchasePart_673,S674,2021-11-09,402,38.49,15,Purchase_Parts,73
S674,673,Supplier_S674,+1-555-591-5215,China,,,,Suppliers,93
675,239,PurchasePart_675,S676,2022-03-30,518,16.91,26,Purchase_Parts,86
S676,675,Supplier_S676,+1-555-722-6981,China,,,,Suppliers,70
