ID,ParentID,Name,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Label,Edge_Weight
33,29,PurchasePart_33,S34,2020-01-16,210,27.51,27,Purchase_Parts,61
S34,33,Supplier_S34,+1-555-261-8975,UK,,,,Suppliers,13
35,18,MakePart_35,2023-05-09,349,55.3,22,Passed,make parts,42
36,9,PurchasePart_36,S37,2023-08-16,575,11.87,16,Purchase_Parts,26
S37,36,Supplier_S37,+1-555-638-8439,Germany,,,,Suppliers,32
38,29,MakePart_38,2023-05-13,176,26.74,6,Passed,make parts,37
39,19,PurchasePart_39,S40,2020-01-18,821,20.48,6,Purchase_Parts,99
S40,39,Supplier_S40,+1-555-113-3320,China,,,,Suppliers,67
41,30,PurchasePart_41,S42,2022-01-10,204,36.49,13,Purchase_Parts,15
S42,41,Supplier_S42,+1-555-921-1539,China,,,,Suppliers,82
43,17,PurchasePart_43,S44,2022-09-14,803,35.29,19,Purchase_Parts,22
S44,43,Supplier_S44,+1-555-960-4532,USA,,,,Suppliers,36
45,9,PurchasePart_45,S46,2022-12-19,545,31.83,24,Purchase_Parts,14
S46,45,Supplier_S46,+1-555-973-5314,China,,,,Suppliers,86
47,29,PurchasePart_47,S48,2021-09-07,592,46.3,10,Purchase_Parts,32
S48,47,Supplier_S48,+1-555-163-4124,UK,,,,Suppliers,26
49,30,PurchasePart_49,S50,2021-02-18,609,39.03,28,Purchase_Parts,57
S50,49,Supplier_S50,+1-555-780-2281,China,,,,Suppliers,65
51,19,PurchasePart_51,S52,2022-02-07,889,13.03,16,Purchase_Parts,71
S52,51,Supplier_S52,+1-555-963-5412,Germany,,,,Suppliers,14
53,22,PurchasePart_53,S54,2020-01-11,415,41.18,21,Purchase_Parts,65
S54,53,Supplier_S54,+1-555-636-4497,USA,,,,Suppliers,29
55,29,PurchasePart_55,S56,2022-06-17,414,39.65,6,Purchase_Parts,49
S56,55,Supplier_S56,+1-555-680-1914,Germany,,,,Suppliers,27
57,9,PurchasePart_57,S58,2021-11-25,388,27.06,25,Purchase_Parts,34
