ID,ParentID,Name,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Label,Edge_Weight
405,115,PurchasePart_405,S406,2021-08-26,417,36.7,15,Purchase_Parts,30
S406,405,Supplier_S406,+1-555-304-3927,China,,,,Suppliers,56
407,152,PurchasePart_407,S408,2021-05-12,819,24.95,7,Purchase_Parts,52
S408,407,Supplier_S408,+1-555-439-1545,USA,,,,Suppliers,85
409,404,PurchasePart_409,S410,2021-09-01,648,30.43,9,Purchase_Parts,46
S410,409,Supplier_S410,+1-555-342-6503,USA,,,,Suppliers,99
411,176,PurchasePart_411,S412,2023-04-05,462,28.97,9,Purchase_Parts,12
S412,411,Supplier_S412,+1-555-891-1855,China,,,,Suppliers,11
413,176,PurchasePart_413,S414,2021-03-17,135,23.09,29,Purchase_Parts,84
S414,413,Supplier_S414,+1-555-632-2055,Japan,,,,Suppliers,28
415,127,PurchasePart_415,S416,2022-01-22,226,32.34,26,Purchase_Parts,87
S416,415,Supplier_S416,+1-555-123-3496,UK,,,,Suppliers,38
417,142,PurchasePart_417,S418,2021-11-08,506,29.22,18,Purchase_Parts,57
S418,417,Supplier_S418,+1-555-155-3350,USA,,,,Suppliers,96
419,120,PurchasePart_419,S420,2022-02-18,487,5.17,23,Purchase_Parts,40
S420,419,Supplier_S420,+1-555-784-4682,UK,,,,Suppliers,68
421,346,PurchasePart_421,S422,2023-07-25,915,48.49,12,Purchase_Parts,16
S422,421,Supplier_S422,+1-555-352-4552,Germany,,,,Suppliers,57
423,352,PurchasePart_423,S424,2022-05-21,141,40.31,28,Purchase_Parts,63
S424,423,Supplier_S424,+1-555-705-8405,Japan,,,,Suppliers,46
425,183,PurchasePart_425,S426,2022-01-01,344,24.71,29,Purchase_Parts,100
S426,425,Supplier_S426,+1-555-611-3821,Germany,,,,Suppliers,92
427,104,PurchasePart_427,S428,2020-12-10,161,27.54,25,Purchase_Parts,42
S428,427,Supplier_S428,+1-555-347-1459,China,,,,Suppliers,52
429,142,PurchasePart_429,S430,2020-04-28,640,26.84,24,Purchase_Parts,39
S430,429,Supplier_S430,+1-555-143-2520,USA,,,,Suppliers,74
431,151,PurchasePart_431,S432,2023-12-14,692,46.05,20,Purchase_Parts,16
S432,431,Supplier_S432,+1-555-975-9421,UK,,,,Suppliers,25
433,138,PurchasePart_433,S434,2022-08-25,519,5.29,20,Purchase_Parts,93
S434,433,Supplier_S434,+1-555-472-8107,China,,,,Suppliers,72
435,141,PurchasePart_435,S436,2022-05-21,968,35.68,2,Purchase_Parts,84
S436,435,Supplier_S436,+1-555-304-4811,Japan,,,,Suppliers,69
437,183,PurchasePart_437,S438,2022-09-16,497,5.66,4,Purchase_Parts,58
S438,437,Supplier_S438,+1-555-895-5987,Japan,,,,Suppliers,36
439,329,PurchasePart_439,S440,2023-11-05,208,6.21,7,Purchase_Parts,63
S440,439,Supplier_S440,+1-555-757-9557,USA,,,,Suppliers,66
441,241,PurchasePart_441,S442,2021-04-03,338,29.63,14,Purchase_Parts,64
S442,441,Supplier_S442,+1-555-920-9915,UK,,,,Suppliers,38
443,276,PurchasePart_443,S444,2021-07-22,693,17.28,22,Purchase_Parts,72
S444,443,Supplier_S444,+1-555-837-1475,Japan,,,,Suppliers,27
445,115,PurchasePart_445,S446,2022-12-22,543,10.27,26,Purchase_Parts,67
S446,445,Supplier_S446,+1-555-938-8070,Germany,,,,Suppliers,27
447,152,PurchasePart_447,S448,2023-11-06,789,23.14,20,Purchase_Parts,94
S448,447,Supplier_S448,+1-555-830-1100,Germany,,,,Suppliers,69
449,142,PurchasePart_449,S450,2023-11-18,886,37.74,15,Purchase_Parts,21
S450,449,Supplier_S450,+1-555-893-8307,Germany,,,,Suppliers,79
451,238,PurchasePart_451,S452,2022-03-01,793,17.41,11,Purchase_Parts,65
S452,451,Supplier_S452,+1-555-565-7622,China,,,,Suppliers,48
453,241,PurchasePart_453,S454,2021-06-11,529,36.59,23,Purchase_Parts,23
S454,453,Supplier_S454,+1-555-564-2917,UK,,,,Suppliers,11
455,403,PurchasePart_455,S456,2021-10-01,620,5.86,25,Purchase_Parts,97
S456,455,Supplier_S456,+1-555-499-2225,UK,,,,Suppliers,32
457,142,PurchasePart_457,S458,2021-07-07,462,29.92,29,Purchase_Parts,11
S458,457,Supplier_S458,+1-555-194-2777,UK,,,,Suppliers,71
459,115,PurchasePart_459,S460,2021-08-13,115,40.96,23,Purchase_Parts,38
S460,459,Supplier_S460,+1-555-487-4462,China,,,,Suppliers,86
461,115,PurchasePart_461,S462,2021-07-22,617,14.63,4,Purchase_Parts,96
S462,461,Supplier_S462,+1-555-509-8472,USA,,,,Suppliers,47
463,127,PurchasePart_463,S464,2022-07-30,827,42.96,27,Purchase_Parts,50
S464,463,Supplier_S464,+1-555-443-6795,Germany,,,,Suppliers,83
465,141,PurchasePart_465,S466,2021-03-08,829,10.91,24,Purchase_Parts,75
S466,465,Supplier_S466,+1-555-592-4793,China,,,,Suppliers,56
